M	A	Rank	Composite
AL357140.4	1.44863812980962e-05	0.00179109880817487	25703	AL357140.4: 25703
LZIC	0.0101415451285995	0.804515212333778	2657.07547169811	LZIC: 2657.07547169811
AL357140.2	9.00103996671768e-05	0.00339113523299641	22583	AL357140.2: 22583
NMNAT1	0.00191261116415655	0.161827131435618	9292.69811320755	NMNAT1: 9292.69811320755
AL603962.1	0	0	27241.6698113208	AL603962.1: 27241.6698113208
RBP7	0.000793642230522855	0.0470265625853821	12624.5943396226	RBP7: 12624.5943396226
UBE4B	0.00426463581415826	0.348968499544818	5793.98113207547	UBE4B: 5793.98113207547
KIF1B	0.00565270363206033	0.572174890817327	4432.41509433962	KIF1B: 4432.41509433962
AL139424.3	0.000102965146907743	0.0070807003325673	22025.7075471698	AL139424.3: 22025.7075471698
AL139424.2	0.000126316411871613	0.00857567740241633	19591.9339622641	AL139424.2: 19591.9339622641
PGD	0.00803984745352005	0.510071655410432	3685.52830188679	PGD: 3685.52830188679
AL139424.1	4.86438317429633e-06	0.00053417667073004	26486.179245283	AL139424.1: 26486.179245283
CENPS	0.0055608784534824	0.402211700118274	5270.01886792453	CENPS: 5270.01886792453
CORT	0.000317384213262063	0.0232866188026693	15353.4150943396	CORT: 15353.4150943396
DFFA	0.0064367469258542	0.498785643338151	4273.8679245283	DFFA: 4273.8679245283
AL354956.1	6.35469842246814e-06	0.00124794451202744	25716.3679245283	AL354956.1: 25716.3679245283
PEX14	0.00227724042263189	0.156159339842518	8949.88679245283	PEX14: 8949.88679245283
AL139423.2	1.68805997816416e-06	0.000160659587153738	26873.0943396226	AL139423.2: 26873.0943396226
CASZ1	0.00160641849644031	0.159087863619631	9834.66037735849	CASZ1: 9834.66037735849
AL139423.1	1.40461670637702e-05	0.00157754199474635	24882.7924528302	AL139423.1: 24882.7924528302
C1orf127	0.00662086598867087	0.415443480003254	4363.11320754717	C1orf127: 4363.11320754717
TARDBP	0.00974470057380061	0.701339852180639	2875.2641509434	TARDBP: 2875.2641509434
MASP2	1.71177854823887e-06	0.000374835772132175	26883.5849056604	MASP2: 26883.5849056604
AL109811.2	0.00163512127991021	0.0761268038643397	10151.4716981132	AL109811.2: 10151.4716981132
SRM	0.0113944026659354	0.780807228047906	2449.64150943396	SRM: 2449.64150943396
EXOSC10	0.00320460675091886	0.255391891846831	7258.84905660377	EXOSC10: 7258.84905660377
AL109811.1	3.00163849329192e-05	0.00420604974577065	24542.7075471698	AL109811.1: 24542.7075471698
EXOSC10-AS1	0.000189809866923129	0.0116786557483227	17819.4622641509	EXOSC10-AS1: 17819.4622641509
MTOR	0.00216077532245386	0.162695416398954	8661.18867924528	MTOR: 8661.18867924528
MTOR-AS1	0	0.000120632912653718	27241.6698113208	MTOR-AS1: 27241.6698113208
ANGPTL7	4.73209259969752e-06	0.0011520935836928	26332.7735849057	ANGPTL7: 26332.7735849057
UBIAD1	0.00195465008774075	0.176389144046528	9436.94339622642	UBIAD1: 9436.94339622642
AL031291.1	5.10237280395999e-07	0.000161650381937231	26538.0754716981	AL031291.1: 26538.0754716981
DISP3	0.00148285433839975	0.108182243725839	10268.8679245283	DISP3: 10268.8679245283
AL590989.1	1.83909155882206e-06	0.000472766708638896	26323.1698113208	AL590989.1: 26323.1698113208
LINC01647	1.01238030604062e-07	0.000131522280085046	27064.6132075472	LINC01647: 27064.6132075472
AL031731.1	3.19131450718035e-05	0.00402874106460543	23165.5377358491	AL031731.1: 23165.5377358491
FBXO2	0.010641587733781	0.7245198563719	2607.09433962264	FBXO2: 2607.09433962264
FBXO44	0.00385461679735287	0.23674891161295	6825.52830188679	FBXO44: 6825.52830188679
FBXO6	0.00249007471923047	0.162197250139364	8440.20754716981	FBXO6: 8440.20754716981
MAD2L2	0.0068295819646054	0.394590104689696	4917.77358490566	MAD2L2: 4917.77358490566
DRAXIN	5.0792232364334e-05	0.00251859761179945	23673.8396226415	DRAXIN: 23673.8396226415
AGTRAP	0.00936062847179843	0.63207468119665	3124.66037735849	AGTRAP: 3124.66037735849
